fioriId;RoleName;AppName;ApplicationType;App Launcher Title - Subtitle;Lighthouse;UITechnology;PrimaryODataServiceName;PrimaryODataServiceVersion;AdditionalODataServices;AdditionalODataServicesVersions;Link;Column1
F0029;Internal Sales Representative;Sales Order Fulfillment Issues;Transactional;;;SAP Fiori (SAPUI5);SD_SOFM_SRV;1;LORD_ODATA_ORDER_SRV, SD_SOFM_CREDIT_BLOCK_SRV, SD_SOFM_DELIVERY_SRV_01, SD_SOFM_INVOICE_SRV;0001, 0001, 0001, 0001;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0029;
F0029A;Internal Sales Representative;Sales Order Fulfillment Issues (Version 2);Transactional, Analytical;;Yes;SAP Fiori elements;SD_SOFI;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0029A;
F0046A;Master Data Specialist - Business Partner Data;Customer Master FactSheets;Fact sheet;;;SAP Fiori elements;C_CUSTOMER_OP_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0046A;
F0106;Accounts Receivable Accountant;Process Receivables;Transactional;Process Receivables;;SAP Fiori (SAPUI5);FDMO_PROCESS_RECEIVABLES_SRV;1;FAR_CORRESPONDENCE_HISTORY_SRV;0001;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0106;
F0106A;Accounts Receivable Accountant;Process Receivables (Version 2);Transactional;Process Receivables;Yes;SAP Fiori elements;UI_PROCESSRECEIVABLES_MAN;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0106A;
F0217;Manager - Finance Info;Track Supplier Invoices;Transactional;Track Supplier Invoices;;SAP Fiori (SAPUI5);FAP_MYVENDORINVOICES;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0217;
F0232A;Receiving Specialist;Inbound Delivery (S/4HANA);Fact sheet;;;SAP Fiori elements;LE_SHP_INBOUND_DELIVERY_OBJPG_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0232A;
F0233A;Shipping Specialist;Outbound Delivery (S/4HANA);Fact sheet;;;SAP Fiori elements;LE_SHP_OUTBOUND_DELIVERY_FS;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0233A;
F0234A;Shipping Specialist;Returns Delivery (S/4HANA);Fact sheet;;;SAP Fiori elements;LE_SHP_RETURNS_DELIVERY_FS_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0234A;
F0246;Production Planner;Monitor External Requirements;Transactional;Monitor External Requirements;;SAP Fiori (SAPUI5);PP_MRP_COCKPIT_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0246;
F0247;Production Planner;Monitor Material Coverage - Net Segments;Transactional;Monitor Material Coverage (obsolete) - Net Segments;;SAP Fiori (SAPUI5);PP_MRP_COCKPIT_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0247;
F0247A;Production Planner;Monitor Material Coverage (Version 2);Transactional;Monitor Material Coverage - Net Segments;;SAP Fiori elements;PP_MRP_MATERIAL_COVERAGE_SRV;1;PP_MRP_AOR_SRV, PP_MRP_MATERIAL_COVERAGE_POVER_SRV;0001, 0001;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0247A;
F0250;Production Planner;Manage External Requirements;Transactional;;;SAP Fiori (SAPUI5);PP_MRP_COCKPIT_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0250;
F0251;Production Planner;Manage Material Coverage;Transactional;Check Material Coverage;;SAP Fiori (SAPUI5);PP_MRP_COCKPIT_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0251;
F0251A;Production Planner;Manage Material Coverage (Version 2);Transactional;Manage Material Coverage;;SAP Fiori elements;PP_MRP_MANAGE_MATERIAL_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0251A;
F0263;Production Planner;Monitor Internal Requirements;Transactional;Monitor Internal Requirements;;SAP Fiori (SAPUI5);PP_MRP_COCKPIT_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0263;
F0266;Production Planner;Monitor Production Orders or Process Orders;Transactional;Monitor Process Orders (Deprecated) - MRP View, Monitor Production Orders (Deprecated) - MRP View;;SAP Fiori (SAPUI5);PP_MRP_COCKPIT_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0266;
F0266A;Production Planner;Monitor Production Orders or Process Orders (Version 2);Transactional;Monitor Process Orders - MRP View, Monitor Production Orders - MRP View;;SAP Fiori (SAPUI5);PP_MRP_COCKPIT_SRV;1;PP_MRP_AOR_SRV, PP_MRP_MATERIAL_COVERAGE_POVER_SRV_;0001, 0001;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0266A;
F0270;Production Planner;Manage Internal Requirements;Transactional;;;SAP Fiori (SAPUI5);PP_MRP_COCKPIT_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0270;
F0273;Production Planner;Manage Production Orders or Process Orders;Transactional;;;SAP Fiori (SAPUI5);PP_MRP_COCKPIT_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0273;
F0284;Project Team Member;Confirm Project Tasks;Transactional;;;SAP Fiori (SAPUI5);PPM_PROTSK_CNF;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0284;
F0286A;Project Financial Controller;Milestone;Fact sheet;;;SAP Fiori elements;PS_MILESTONE_OVW_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0286A;
F0288A;Project Logistics Controller;Network (S/4HANA);Fact sheet;;;SAP Fiori elements;PS_PROJNETWORK_OVERV_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0288A;
F0289A;Project Logistics Controller;Network Activity (S/4HANA);Fact sheet;;;SAP Fiori elements;PS_NTWKACTY_OVW_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0289A;
F0290A;Project Financial Controller;Project Definition (S/4HANA);Fact sheet;;;SAP Fiori elements;PS_PROJECT_OVERV_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0290A;
F0291A;Project Financial Controller;WBS Element (S/4HANA);Fact sheet;;;SAP Fiori elements;PS_WBSELEMENT_OVW_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0291A;
F0292;Project Financial Controller;Change WBS Element Status;Transactional;Change WBS Element Status;;SAP Fiori (SAPUI5);PS_WBSELEMENTSTATUSCHANGE_SRV;1;SM_INTEGRATION_V2_SRV;0001;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0292;
F0295;Project Financial Controller;Confirm Project Milestone;Transactional;Confirm Project Milestone;;SAP Fiori (SAPUI5);PS_MILESTONE_CONFIRM;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0295;
F0296;Project Logistics Controller;Confirm Network Activity;Transactional;Confirm Network Activity;;SAP Fiori (SAPUI5);PS_ACTIVITY_CONFIRM;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0296;
F0309A;Quality Technician;Inspection Point (S/4HANA);Transactional;Display Inspection Points;;SAP Fiori elements;QM_INSPSUBSET_MANAGE_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0309A;
